,url_categorie,cat1,cat2,cat3,cat4,cat5,cat6,titre,rang,lien
0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,A Place of My Own: The Architecture of Daydreams,207610.0,https://www.amazon.com/Place-My-Own-Architecture-Daydreams-ebook/dp/B00BE2568E/ref=sr_1_1?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-1
1,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Architectural Digest at 100: A Century of Style,50708.0,https://www.amazon.com/Architectural-Digest-100-Century-Style-ebook/dp/B07NZ16LZK/ref=sr_1_2?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-2
2,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,"The Stoic way of Life: The Ultimate Guide of Stoicism to make your Everyday Modern Life Calm, Confident - Master the Art of Living, Emotional Resilience & Perseverance (Mastering Stoicism)",81682.0,https://www.amazon.com/Stoic-way-Life-Confident-Perseverance-ebook/dp/B08N5LC4TD/ref=sr_1_3?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-3
3,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,The $12 Million Stuffed Shark: The Curious Economics of Contemporary Art,614493.0,https://www.amazon.com/Million-Stuffed-Shark-Economics-Contemporary-ebook/dp/B0077QZ208/ref=sr_1_4?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-4
4,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,The Gardner Heist: The True Story of the World's Largest Unsolved Art Theft,256404.0,https://www.amazon.com/Gardner-Heist-Worlds-Largest-Unsolved-ebook/dp/B001TJ2YF0/ref=sr_1_5?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-5
5,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Frank Lloyd Wright,186727.0,https://www.amazon.com/Frank-Lloyd-Wright-Meryle-Secrest-ebook/dp/B00KEPLBYK/ref=sr_1_6?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-6
6,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,"Fallingwater Rising: Frank Lloyd Wright, E. J. Kaufmann, and America's Most Extraordinary House",736677.0,https://www.amazon.com/Fallingwater-Rising-Kaufmann-Americas-Extraordinary-ebook/dp/B0012SMGM4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-7
7,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Death in a Prairie House: Frank Lloyd Wright and the Taliesin Murders,572068.0,https://www.amazon.com/Death-Prairie-House-Taliesin-Murders-ebook/dp/B002AP9GLW/ref=sr_1_8?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-8
8,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Confessions Of an Art Addict,708582.0,https://www.amazon.com/Confessions-Art-Addict-Peggy-Guggenheim-ebook/dp/B00BKZGPL2/ref=sr_1_9?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-9
9,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,The Fellowship: The Untold Story of Frank Lloyd Wright & the Taliesin Fellowship,311610.0,https://www.amazon.com/Fellowship-Untold-Story-Wright-Taliesin-ebook/dp/B001UQO446/ref=sr_1_10?dib=eyJ2IjoiMSJ9.b_7M7tlpOobOJT0S5uuE4dHhSIueimkzNgxXgd2ggGLF9x8tTElAUZfU0-tjxinY15ThQS9od8zHVcsya1naF3UO_VobWM-5sbjGnCF-wEXT0RrClcoBaJnXaxVvwJJJM21L_JKSuus66CCt4oxzay1fPApy47ZDcR5F-_4mM_0OFGCRxAHLDjaV1Y9Mt9PdqH7_t9M-PAAYIJfNwf_p1K-UrJRjH5SVvNFHsQtUq94.OjwjuWJ2ag53hwzAncJLQ3g9EPMA1VPlQQD9eT098jI&dib_tag=se&qid=1709590909&s=digital-text&sr=1-10
