,cat 1,cat 2,cat 3,cat 4,cat 5,cat final,url
0,Arts & Photography,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_0
1,Biographies & Memoirs,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_1
2,Business & Money,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154821011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_2
3,Children's eBooks,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A155009011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_3
4,"Comics, Manga & Graphic Novels",0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156104011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_4
5,Computers & Technology,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156116011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_5
6,"Cookbooks, Food & Wine",0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156154011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_6
7,"Crafts, Hobbies & Home",0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156699011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_7
8,Education & Teaching,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158125011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_8
9,Engineering & Transportation,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157626011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_9
10,Foreign Languages,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_10
11,"Health, Fitness & Dieting",0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_11
12,History,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156576011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_12
13,Humor & Entertainment,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156279011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_13
14,Law,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156915011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_14
15,LGBTQ+ eBooks,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156424011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_15
16,Literature & Fiction,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157028011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_16
17,Medical eBooks,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157119011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_17
18,"Mystery, Thriller & Suspense",0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157305011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_18
19,Nonfiction,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157325011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_19
20,Parenting & Relationships,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157584011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_20
21,Politics & Social Sciences,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A305951011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_21
22,Reference,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A9154158011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_22
23,Religion & Spirituality,0,0,0,0,0,https://www.amazon.com/s?bbn=154606011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A158280011&dc&qid=1660771787&rnid=154606011&ref=lp_154606011_nr_n_23
