;cat 1;cat 2;cat 3;cat 4;cat 5;cat final;url;url_node;node
0;Arts & Photography;Fashion;0;0;0;finale;https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154656011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_3;https://www.amazon.com/s?i=digital-text&rh=n%3A154656011&fs=true&page=1;3A154656011
1;Arts & Photography;Individual Artists;0;0;0;finale;https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154655011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_5;https://www.amazon.com/s?i=digital-text&rh=n%3A154655011&fs=true&page=1;3A154655011
2;Arts & Photography;Performing Arts;0;0;0;finale;https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154691011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_7;https://www.amazon.com/s?i=digital-text&rh=n%3A154691011&fs=true&page=1;3A154691011
3;Biographies & Memoirs;LGBTQ+;0;0;0;finale;https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A156425011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_4;https://www.amazon.com/s?i=digital-text&rh=n%3A156425011&fs=true&page=1;3A156425011
4;Biographies & Memoirs;Memoirs;0;0;0;finale;https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A154793011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_5;https://www.amazon.com/s?i=digital-text&rh=n%3A154793011&fs=true&page=1;3A154793011
5;Biographies & Memoirs;Reference & Collections;0;0;0;finale;https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A154806011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_7;https://www.amazon.com/s?i=digital-text&rh=n%3A154806011&fs=true&page=1;3A154806011
6;Biographies & Memoirs;Survival;0;0;0;finale;https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A17744489011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_9;https://www.amazon.com/s?i=digital-text&rh=n%3A17744489011&fs=true&page=1;3A17744489011
7;Biographies & Memoirs;Travel;0;0;0;finale;https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A154820011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_10;https://www.amazon.com/s?i=digital-text&rh=n%3A154820011&fs=true&page=1;3A154820011
8;Biographies & Memoirs;Women;0;0;0;finale;https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A154819011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_12;https://www.amazon.com/s?i=digital-text&rh=n%3A154819011&fs=true&page=1;3A154819011
9;Business & Money;Green Business;0;0;0;finale;https://www.amazon.com/s?bbn=154821011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154821011%2Cn%3A8493746011&dc&qid=1660771893&rnid=154821011&ref=lp_154821011_nr_n_7;https://www.amazon.com/s?i=digital-text&rh=n%3A8493746011&fs=true&page=1;3A8493746011
