Numero;cat1;cat2;cat3;cat4;cat5;cat6;url
0;Arts & Photography;Architecture;Architects, A-Z;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0
1;Arts & Photography;Architecture;Building Types & Styles;Religious Buildings;;;https://www.amazon.com/s?bbn=157632011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157632011%2Cn%3A157634011&dc&qid=1689403032&rnid=157632011&ref=lp_157632011_nr_n_0
2;Arts & Photography;Architecture;Building Types & Styles;Specific Styles;;;https://www.amazon.com/s?bbn=157632011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157632011%2Cn%3A157635011&dc&qid=1689403032&rnid=157632011&ref=lp_157632011_nr_n_1
3;Arts & Photography;Architecture;Criticism;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157636011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_2
4;Arts & Photography;Architecture;Drawing & Modelling;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157637011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_3
5;Arts & Photography;Architecture;Historic Preservation;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157639011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_4
6;Arts & Photography;Architecture;History & Periods;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157640011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_5
7;Arts & Photography;Architecture;Interior Design;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157641011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_6
8;Arts & Photography;Architecture;International;African;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157646011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_0
9;Arts & Photography;Architecture;International;Asian;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157647011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_1
10;Arts & Photography;Architecture;International;British;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157648011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_2
11;Arts & Photography;Architecture;International;European;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157649011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_3
12;Arts & Photography;Architecture;International;Middle Eastern;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157651011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_4
13;Arts & Photography;Architecture;International;United States;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157652011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_5
14;Arts & Photography;Architecture;International;United States (Southern);;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157653011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_6
15;Arts & Photography;Architecture;Landscape;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157654011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_8
16;Arts & Photography;Architecture;Project Planning & Management;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157655011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_9
17;Arts & Photography;Architecture;Reference;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157656011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_10
18;Arts & Photography;Architecture;Study & Teaching;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157657011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_11
19;Arts & Photography;Architecture;Urban & Land Use Planning;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157658011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_12
20;Arts & Photography;Architecture;Vernacular Architecture;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A14530422011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_13
21;Arts & Photography;Art;Art History;Criticism;;;https://www.amazon.com/s?bbn=154609011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154610011&dc&qid=1689403068&rnid=154609011&ref=lp_154609011_nr_n_0
22;Arts & Photography;Art;Art History;Regional;African;;https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154613011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_0
