;0;1;2;3;4;5;6
0;https://www.amazon.com/s?bbn=156548011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156548011%2Cn%3A156549011&dc&qid=1690007550&rnid=156548011&ref=lp_156548011_nr_n_0;Health, Fitness & Dieting;Addiction & Recovery;Adult Children of Alcoholics;;;
1;https://www.amazon.com/s?bbn=156548011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156548011%2Cn%3A156550011&dc&qid=1690007550&rnid=156548011&ref=lp_156548011_nr_n_1;Health, Fitness & Dieting;Addiction & Recovery;Alcoholism;;;
2;https://www.amazon.com/s?bbn=156548011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156548011%2Cn%3A156551011&dc&qid=1690007550&rnid=156548011&ref=lp_156548011_nr_n_2;Health, Fitness & Dieting;Addiction & Recovery;Drug Dependency;;;
3;https://www.amazon.com/s?bbn=156548011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156548011%2Cn%3A11717487011&dc&qid=1690007550&rnid=156548011&ref=lp_156548011_nr_n_3;Health, Fitness & Dieting;Addiction & Recovery;Gambling;;;
4;https://www.amazon.com/s?bbn=156548011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156548011%2Cn%3A11717488011&dc&qid=1690007550&rnid=156548011&ref=lp_156548011_nr_n_4;Health, Fitness & Dieting;Addiction & Recovery;Hoarding;;;
5;https://www.amazon.com/s?bbn=156548011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156548011%2Cn%3A11717489011&dc&qid=1690007550&rnid=156548011&ref=lp_156548011_nr_n_5;Health, Fitness & Dieting;Addiction & Recovery;Obsessive Compulsive Disorder (OCD);;;
6;https://www.amazon.com/s?bbn=156548011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156548011%2Cn%3A11717490011&dc&qid=1690007550&rnid=156548011&ref=lp_156548011_nr_n_6;Health, Fitness & Dieting;Addiction & Recovery;Sexual Addiction;;;
7;https://www.amazon.com/s?bbn=156548011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156548011%2Cn%3A11717491011&dc&qid=1690007550&rnid=156548011&ref=lp_156548011_nr_n_7;Health, Fitness & Dieting;Addiction & Recovery;Tobacco;;;
8;https://www.amazon.com/s?bbn=156548011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156548011%2Cn%3A156554011&dc&qid=1690007550&rnid=156548011&ref=lp_156548011_nr_n_8;Health, Fitness & Dieting;Addiction & Recovery;Twelve-Step Programs;;;
9;https://www.amazon.com/s?bbn=156431011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156431011%2Cn%3A156432011&dc&qid=1690007577&rnid=156431011&ref=lp_156431011_nr_n_0;Health, Fitness & Dieting;Alternative Medicine;Acupuncture & Acupressure;;;
10;https://www.amazon.com/s?bbn=156431011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156431011%2Cn%3A11717358011&dc&qid=1690007577&rnid=156431011&ref=lp_156431011_nr_n_1;Health, Fitness & Dieting;Alternative Medicine;Alternative Therapies;;;
11;https://www.amazon.com/s?bbn=156431011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156431011%2Cn%3A156433011&dc&qid=1690007577&rnid=156431011&ref=lp_156431011_nr_n_2;Health, Fitness & Dieting;Alternative Medicine;Aromatherapy;;;
12;https://www.amazon.com/s?bbn=156431011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156431011%2Cn%3A11717359011&dc&qid=1690007577&rnid=156431011&ref=lp_156431011_nr_n_3;Health, Fitness & Dieting;Alternative Medicine;Energy Healing;;;
13;https://www.amazon.com/s?bbn=156431011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156431011%2Cn%3A156435011&dc&qid=1690007577&rnid=156431011&ref=lp_156431011_nr_n_4;Health, Fitness & Dieting;Alternative Medicine;Healing;;;
14;https://www.amazon.com/s?bbn=156431011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156431011%2Cn%3A156436011&dc&qid=1690007577&rnid=156431011&ref=lp_156431011_nr_n_5;Health, Fitness & Dieting;Alternative Medicine;Herbal Remedies;;;
15;https://www.amazon.com/s?bbn=156431011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156431011%2Cn%3A156437011&dc&qid=1690007577&rnid=156431011&ref=lp_156431011_nr_n_6;Health, Fitness & Dieting;Alternative Medicine;Holistic;;;
